endTime,artistName,trackName,msPlayed,Language
6/13/20 18:20,Surf Mesa,ily (i love you baby) (feat. Emilee),176547,en
6/13/20 18:24,Ariana Grande,Stuck with U (with Justin Bieber),228482,en
6/13/20 18:28,BENEE,Supalonely,223480,en
6/13/20 18:31,SAINt JHN,Roses - Imanbek Remix,176219,en
6/13/20 19:33,ROSALÍA,TKN (feat. Travis Scott),106423,lb
6/14/20 19:20,Kanye West,Lift Yourself,464,en
6/14/20 20:47,Pardon My Take,"Judd Apatow, Kentucky Sports Radio, And Lance Armstrong Documentary",767628,en
6/14/20 22:09,Pardon My Take,"Judd Apatow, Kentucky Sports Radio, And Lance Armstrong Documentary",800066,en
6/15/20 0:01,Tom Misch,South of the River,269815,en
6/15/20 2:45,Frank Ocean,Moon River,188324,en
6/15/20 2:48,Pardon My Take,"Judd Apatow, Kentucky Sports Radio, And Lance Armstrong Documentary",1169751,en
6/15/20 2:51,Tom Misch,Movie,357357,en
6/15/20 2:56,Mac Miller,So It Goes,312960,en
6/15/20 3:02,Mac Miller,Surf,330507,en
6/15/20 3:06,Mac Miller,Dunno - Recorded at Spotify Studios NYC,224347,en
6/15/20 3:51,Mac Miller,Hand Me Downs,132724,en
6/15/20 13:33,Mac Miller,Good News,342040,en
6/15/20 13:36,Still Woozy,Window,139293,en
6/15/20 13:38,Smino,Z4L (with Bari & Jay2),162590,en
6/15/20 13:41,SiR,John Redcorn,187893,en
6/15/20 13:42,Brent Faiyaz,Fuck The World (Summer in London),56647,en
6/15/20 13:49,"Tyler, The Creator","GONE, GONE / THANK YOU",375386,en
6/15/20 13:53,Mac Miller,Woods,286386,en
6/15/20 13:57,Daniel Caesar,CYANIDE REMIX (feat. Koffee),221132,en
6/15/20 14:00,Kota the Friend,Volvo,180094,sv
6/15/20 14:04,BROCKHAMPTON,FACE,259000,en
6/15/20 14:09,Frank Ocean,Biking,277520,en
6/15/20 15:22,Mac Miller,What's the Use?,135929,en
6/15/20 15:26,Daniel Caesar,OPEN UP,266226,en
6/15/20 15:31,Daniel Caesar,SUPERPOSITION,263794,en
6/15/20 15:40,Mac Miller,Dunno - Recorded at Spotify Studios NYC,224347,en
6/15/20 18:22,Daniel Caesar,LOVE AGAIN,99011,en
6/15/20 18:25,Billie Eilish,wish you were gay,189258,en
6/15/20 18:26,Billie Eilish,wish you were gay,32329,en
6/15/20 18:30,Billie Eilish,hostage,229426,en
6/15/20 18:31,Billie Eilish,idontwannabeyouanymore,101445,en
6/15/20 18:32,Billie Eilish,idontwannabeyouanymore,25540,en
6/15/20 18:33,Billie Eilish,idontwannabeyouanymore,75430,en
6/15/20 18:34,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,46712,en
6/15/20 18:40,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,224063,en
6/15/20 18:44,Billie Eilish,COPYCAT,9131,en
6/15/20 18:44,Billie Eilish,xanny,243725,en
6/15/20 18:47,Billie Eilish,bad guy,194087,en
6/15/20 18:50,Billie Eilish,my strange addiction,179889,en
6/15/20 18:54,Billie Eilish,Six Feet Under,189613,en
6/15/20 18:57,Billie Eilish,Bored,180933,en
6/15/20 19:00,Billie Eilish,bury a friend,193143,en
6/15/20 20:08,Billie Eilish,bellyache,150254,en
6/15/20 20:11,Billie Eilish,wish you were gay,221543,en
6/15/20 20:15,Billie Eilish,party favor,204770,en
6/15/20 20:18,Billie Eilish,all the good girls go to hell,168839,en
6/15/20 20:21,Billie Eilish,MyBoi - TroyBoi Remix,211304,en
6/15/20 20:24,Billie Eilish,8,173201,und
6/15/20 20:28,Billie Eilish,&burn (with Vince Staples),179015,en
6/15/20 20:31,Billie Eilish,ocean eyes,200379,en
6/15/20 20:36,Billie Eilish,everything i wanted,245425,en
6/15/20 20:46,Billie Eilish,Six Feet Under - Jerry Folk Remix,200898,en
6/15/20 20:50,Billie Eilish,goodbye,119409,en
6/15/20 20:59,Billie Eilish,i love you,291796,en
6/15/20 21:03,Billie Eilish,come out and play,210375,en
6/15/20 21:06,Billie Eilish,when the party's over,196077,en
6/15/20 21:07,Billie Eilish,ilomilo,73172,sl
6/15/20 21:07,Medasin,Ramen,1887,nl
6/15/20 21:07,FKJ,TUI,3061,zh
6/15/20 21:07,Masego,Tadow,1770,so
6/15/20 21:11,Tom Misch,Colours of Freedom,224000,en
6/15/20 21:15,Tom Misch,Your Love,254734,en
6/15/20 21:20,FKJ,Skyline,249847,en
6/15/20 21:27,iamalex,Summer Goes By,256000,en
6/15/20 21:34,FKJ,Lying Together,268860,en
6/15/20 21:37,Medasin,Always Afternoon,183226,en
6/15/20 22:07,Bakar,Hell N Back,139893,en
6/15/20 22:58,Pardon My Take,"Judd Apatow, Kentucky Sports Radio, And Lance Armstrong Documentary",1196032,en
6/15/20 23:41,Pardon My Take,"Dallas Braden, Long Gone Summer, Mt Flushmore Of Things Chicks Dig In Honor Of The Long Ball",2431104,en
6/15/20 23:42,Brooke Evers,Get Dirty,74090,en
6/15/20 23:45,BROCKHAMPTON,BEN CARSON,140930,tr
6/15/20 23:47,BROCKHAMPTON,STAR,161000,en
6/15/20 23:50,BROCKHAMPTON,VIVID,144280,en
6/15/20 23:53,A$AP Rocky,Goldie,192066,en
6/15/20 23:56,Da Brozz,Tetris,170000,en
6/15/20 23:59,Frank Ocean,Nights,211029,en
6/16/20 0:03,SHAED,Trampoline,184060,en
6/16/20 0:06,Saba,Where Ideas Sing (feat. Daoud),219130,en
6/16/20 0:12,Kanye West,Ultralight Beam,320680,en
6/16/20 0:15,Wiley from Atlanta,Pink Skies (Demo),223101,en
6/16/20 0:17,"Tyler, The Creator",BEST INTEREST,127921,en
6/16/20 0:21,Saba,Photosynthesis,201732,en
6/16/20 1:41,Billie Eilish,Bored,148315,en
6/16/20 2:16,Billie Eilish,Bored,180933,en
6/16/20 2:23,bülow,You & Jennifer,22430,en
6/16/20 2:40,Billie Eilish,Bored,76602,en
6/16/20 3:01,Saba,CALLIGRAPHY,166219,en
6/16/20 3:02,Daniel Caesar,Get You (feat. Kali Uchis),19945,en
6/16/20 3:02,Daniel Caesar,Get You (feat. Kali Uchis),238114,en
6/16/20 3:03,Daniel Caesar,Get You (feat. Kali Uchis),20266,en
6/16/20 3:03,BROCKHAMPTON,SUMMER,8507,en
6/16/20 3:13,BROCKHAMPTON,SUMMER,196525,en
6/16/20 3:17,Berhana,Grey Luh,261103,en
6/16/20 3:21,SZA,Drew Barrymore,231400,en
6/16/20 3:23,Kali Uchis,"After The Storm (feat. Tyler, The Creator & Bootsy Collins)",138117,en
6/16/20 3:29,Mac Ayres,Easy,314358,en
6/16/20 3:31,Smino,Wild Irish Roses,169320,en
6/16/20 3:32,Frank Ocean,White Ferrari,22417,en
6/16/20 3:34,Frank Ocean,White Ferrari,154420,en
6/16/20 3:37,less.people,Everything's a Symptom,137143,en
6/16/20 3:40,G Mills,Rest Your Head,181044,en
6/16/20 3:42,Philanthrope,Moonshine,126024,en
6/16/20 3:45,Purrple Cat,Midnight Snack,188011,en
6/16/20 3:48,DLJ,Truth,129114,en
6/16/20 3:51,Team Astro,Insomnia,178462,en
6/16/20 3:54,Kalaido,Stars and Chimneys,185805,en
6/16/20 3:57,Dontcry,Cosmos,113595,en
6/16/20 3:58,Nohidea,drift..,89157,en
6/16/20 4:00,Lofty,trees,80002,en
6/16/20 4:02,mell-ø,Gloom,131200,en
6/16/20 4:02,Fatb,Inward Creek,24745,en
6/16/20 4:04,Fatb,Inward Creek,132064,en
6/16/20 4:07,Kanisan,Gentle Wind,128058,en
6/16/20 4:09,Blue Wednesday,Japanese Garden,138035,en
6/16/20 4:12,Kupla,Serenity,192000,en
6/16/20 4:15,Fatb,Unravel,143898,en
6/16/20 4:15,Fatb,Unravel,21143,en
6/16/20 4:54,Idealism,nagashi,86534,ja
6/16/20 13:11,Arctic Monkeys,The Ultracheese,832,en
6/16/20 13:11,Athletic Progression,WHITE CRAYON,248282,en
6/16/20 14:31,Billie Eilish,all the good girls go to hell,168839,en
6/16/20 14:34,Billie Eilish,bellyache,179172,en
6/16/20 14:37,Billie Eilish,watch,177523,en
6/16/20 14:41,Billie Eilish,listen before i go,242652,en
6/16/20 14:44,Billie Eilish,bitches broken hearts,176471,en
6/16/20 14:49,Billie Eilish,WHEN I WAS OLDER - Music Inspired By The Film ROMA,270519,en
6/16/20 15:02,Kill Bill: The Rapper,Black Coffee,4288,en
6/16/20 15:02,Shy Lennox,Afterblunts,13408,de
6/16/20 15:02,Billie Eilish,bad guy,100210,en
6/16/20 15:20,Blu DeTiger,Figure It Out,190579,en
6/16/20 15:23,Surf Mesa,ily (i love you baby) (feat. Emilee),176546,en
6/16/20 15:28,Mac Ayres,Easy,314357,en
6/16/20 15:31,Still Woozy,Window,139293,en
6/16/20 15:35,Kill Bill: The Rapper,Black Coffee,280553,en
6/16/20 15:43,Shy Lennox,Afterblunts,145354,de
6/16/20 15:51,Blu DeTiger,Figure It Out,164317,en
6/16/20 15:54,Surf Mesa,ily (i love you baby) (feat. Emilee),176546,en
6/16/20 17:54,Mac Ayres,Easy,274178,en
6/16/20 17:57,Blu DeTiger,Figure It Out,164318,en
6/16/20 18:05,Blu DeTiger,Figure It Out,10,en
6/16/20 18:24,Blu DeTiger,Figure It Out,67082,en
6/16/20 18:25,Kill Bill: The Rapper,Black Coffee,1152,en
6/16/20 18:29,Blu DeTiger,Figure It Out,169629,en
6/16/20 18:38,Kill Bill: The Rapper,Black Coffee,29752,en
6/16/20 18:41,Blu DeTiger,Figure It Out,164317,en
6/16/20 18:45,Kill Bill: The Rapper,Black Coffee,280553,en
6/16/20 18:46,Shy Lennox,Afterblunts,11696,de
6/16/20 18:48,Kid Abstrakt,"Jazz & Coffee, Pt. 4",105770,en
6/16/20 18:50,Roy Blair,Thunder,9985,en
6/16/20 18:50,Rob Curly,Honeymoon,126293,en
6/16/20 18:52,Rob Curly,Honeymoon,116561,en
6/16/20 18:57,Roy Blair,Thunder,313663,en
6/16/20 19:21,Hope Tala,Lovestained,175280,ro
6/16/20 19:22,Vince Staples,"Yo Love - From ""Queen & Slim: The Soundtrack""",57047,en
6/16/20 19:26,Mac Miller,Earth,256773,en
6/16/20 19:28,Bret James,Thank You,125222,en
6/16/20 19:33,Mk.gee,You,310597,en
